month,total_active_customers,new_customers,churned_customers,monthly_churn_rate_pct,total_mrr,avg_revenue_per_customer,customer_acquisition_cost,mrr_change,arpc_change
2022-01-01,0,5,0,0,0,0,164.92,NULL,NULL
2022-02-01,5,10,1,20,7333.07,1466.61,189.21,7333.07,1466.61
2022-03-01,14,13,0,0,12301.16,878.65,139.49,4968.09,-587.96
2022-04-01,28,11,3,10.71,24798.76,885.67,259.09,12497.6,7.02
2022-05-01,35,11,1,2.86,29091.88,831.2,152.96,4293.12,-54.47
2022-06-01,46,10,2,4.35,38919.93,846.09,248.89,9828.05,14.89
2022-07-01,53,8,6,11.32,45097.72,850.9,275.08,6177.79,4.81
2022-08-01,57,18,6,10.53,54140.41,949.83,193.48,9042.69,98.93
2022-09-01,67,13,5,7.46,65198,973.1,216,11057.59,23.27
2022-10-01,76,16,5,6.58,86824.16,1142.42,246.32,21626.16,169.32
2022-11-01,87,14,5,5.75,93168.11,1070.9,130.12,6343.95,-71.52
2022-12-01,95,14,2,2.11,96100.66,1011.59,160.94,2932.55,-59.31
2023-01-01,107,12,4,3.74,104773.35,979.19,258.65,8672.69,-32.4
2023-02-01,115,10,3,2.61,115539.13,1004.69,262.48,10765.78,25.5
2023-03-01,123,5,2,1.63,125258.61,1018.36,274.97,9719.48,13.67
2023-04-01,125,14,8,6.4,129471.28,1035.77,271.47,4212.67,17.41
2023-05-01,133,13,4,3.01,142401.69,1070.69,122.99,12930.41,34.92
2023-06-01,140,15,10,7.14,142966.32,1021.19,161.5,564.63,-49.5
2023-07-01,145,19,7,4.83,147630.36,1018.14,279.59,4664.04,-3.05
2023-08-01,157,10,7,4.46,158920.7,1012.23,131.26,11290.34,-5.91
2023-09-01,160,17,7,4.38,162830.02,1017.69,258.93,3909.32,5.46
2023-10-01,170,16,5,2.94,170763.72,1004.49,240.01,7933.7,-13.2
2023-11-01,181,11,8,4.42,184058.29,1016.9,178.83,13294.57,12.41
2023-12-01,183,9,7,3.83,189579.35,1035.95,180.21,5521.06,19.05
2024-01-01,186,10,7,3.76,191783.54,1031.09,275.62,2204.19,-4.86
2024-02-01,188,7,8,4.26,192379.41,1023.29,142.08,595.87,-7.8
2024-03-01,189,19,4,2.12,196219.33,1038.2,251.87,3839.92,14.91
2024-04-01,203,11,8,3.94,200076.61,985.6,212.11,3857.28,-52.6
2024-05-01,206,14,8,3.88,217117.58,1053.97,139.55,17040.97,68.37
2024-06-01,213,13,9,4.23,215810.52,1013.19,241.12,-1307.06,-40.78
2024-07-01,216,14,8,3.7,222303.36,1029.18,201.02,6492.84,15.99
2024-08-01,223,12,7,3.14,242222.62,1086.2,128.12,19919.26,57.02
2024-09-01,226,11,7,3.1,234749.84,1038.72,125.59,-7472.78,-47.48
2024-10-01,233,13,7,3,239344.73,1027.23,242.79,4594.89,-11.49
2024-11-01,238,12,9,3.78,253489.47,1065.08,234.58,14144.74,37.85
2024-12-01,240,15,9,3.75,260856.24,1086.9,238.17,7366.77,21.82
2025-01-01,247,13,9,3.64,266142.93,1077.5,218.41,5286.69,-9.4
2025-02-01,251,15,8,3.19,274162.54,1092.28,164.96,8019.61,14.78
2025-03-01,257,18,7,2.72,280928.08,1093.11,138.82,6765.54,0.83
2025-04-01,270,13,17,6.3,287791.15,1065.89,144.11,6863.07,-27.22
2025-05-01,264,12,15,5.68,287207.82,1087.91,149.54,-583.33,22.02
2025-06-01,261,15,11,4.21,280683.13,1075.41,238.11,-6524.69,-12.5
2025-07-01,265,9,9,3.4,287661.73,1085.52,150.51,6978.6,10.11
2025-08-01,265,7,7,2.64,287743,1085.82,129.38,81.27,0.3
2025-09-01,265,13,9,3.4,290824.44,1097.45,182.15,3081.44,11.63
2025-10-01,269,18,9,3.35,280089.15,1041.22,250.08,-10735.29,-56.23
2025-11-01,278,11,9,3.24,285261.36,1026.12,254.4,5172.21,-15.1
2025-12-01,281,11,4,1.42,292628.61,1041.38,151.47,7367.25,15.26
