customer_id,plan,billing_cycle,company_size,seats,monthly_revenue,acquisition_channel,signup_date,churn_date,churned,churn_reason,support_tickets_12mo,nps_score,feature_usage_pct,upgraded,risk_category
CUST-0001,Professional,Monthly,51-200,64,825.55,"Organic Search",2022-06-27,2024-03-05,Yes,"Price Too High",13,3,15,No,"High Risk"
CUST-0002,Professional,Annual,51-200,35,409.62,"Direct Sales",2023-03-19,NULL,No,,1,3,52,Yes,"Low NPS Only"
CUST-0003,Starter,Annual,500+,266,1004.49,Partner,2024-10-19,2025-04-13,Yes,"Price Too High",10,4,31,No,"High Risk"
CUST-0004,Business,Annual,11-50,34,1006.44,Partner,2023-01-07,NULL,No,,3,7,58,No,"Low Risk"
CUST-0005,Starter,Annual,51-200,48,198.43,"Direct Sales",2025-09-23,NULL,No,,3,7,59,No,"Low Risk"
CUST-0006,Business,Annual,1-10,3,219.9,Referral,2023-09-28,NULL,No,,12,3,48,No,"High Risk"
CUST-0007,Starter,Monthly,201-500,121,551,Partner,2024-03-07,2025-04-08,Yes,"Poor Support",0,2,14,No,"High Risk"
CUST-0008,Starter,Monthly,51-200,48,233.45,Referral,2025-04-08,2025-06-08,Yes,"Price Too High",10,2,28,No,"High Risk"
CUST-0009,Starter,Monthly,1-10,3,37.7,Partner,2023-01-22,2023-04-21,Yes,"Switched Competitor",5,6,15,No,"High Risk"
CUST-0010,Business,Monthly,51-200,80,2557.15,Partner,2022-06-27,2023-12-01,Yes,"Budget Cuts",3,4,48,No,"High Risk"
CUST-0011,Business,Annual,201-500,77,2097.46,"Organic Search",2022-12-07,2023-06-14,Yes,"Company Closed",9,1,37,No,"High Risk"
CUST-0012,Business,Annual,11-50,30,904.95,Referral,2023-11-17,NULL,No,,4,1,47,Yes,"High Risk"
CUST-0013,Business,Monthly,1-10,4,288.55,Referral,2024-07-02,NULL,No,,10,9,84,Yes,"Low Risk"
CUST-0014,Starter,Monthly,51-200,56,268.25,"Paid Ads",2022-05-29,2022-09-27,Yes,"Poor Support",1,2,21,No,"High Risk"
CUST-0015,Starter,Monthly,1-10,6,50.75,Referral,2024-01-17,2024-05-16,Yes,"No Longer Needed",7,3,25,No,"High Risk"
CUST-0016,Starter,Monthly,201-500,52,250.85,"Organic Search",2022-06-01,2023-01-24,Yes,"Budget Cuts",11,4,34,No,"High Risk"
CUST-0017,Business,Monthly,11-50,34,1184.05,"Paid Ads",2024-12-23,2024-12-31,Yes,"No Longer Needed",3,3,49,No,"High Risk"
CUST-0018,Starter,Monthly,51-200,64,303.05,Referral,2023-06-21,2023-08-05,Yes,"Company Closed",14,3,25,No,"High Risk"
CUST-0019,Professional,Annual,500+,67,731.93,Partner,2024-03-26,2025-04-23,Yes,"Company Closed",10,2,10,No,"High Risk"
CUST-0020,Enterprise,Annual,1-10,7,805.88,"Organic Search",2023-08-11,NULL,No,,8,4,93,No,"Low NPS Only"
CUST-0021,Professional,Annual,51-200,66,721.86,Partner,2023-11-23,2024-05-18,Yes,"Price Too High",7,2,19,No,"High Risk"
CUST-0022,Business,Annual,1-10,6,296.01,Referral,2022-07-02,NULL,No,,5,7,40,No,"Low Usage Only"
CUST-0023,Starter,Monthly,11-50,25,133.4,"Paid Ads",2024-02-17,2024-04-23,Yes,"Company Closed",11,1,16,No,"High Risk"
CUST-0024,Enterprise,Annual,11-50,14,1251.24,Referral,2025-05-22,NULL,No,,11,1,85,No,"Low NPS Only"
CUST-0025,Starter,Annual,11-50,7,46.83,Referral,2024-06-08,NULL,No,,1,1,42,No,"High Risk"
CUST-0026,Enterprise,Annual,1-10,4,615.02,Referral,2025-07-25,NULL,No,,2,9,73,No,"Low Risk"
CUST-0027,Starter,Monthly,1-10,1,29,Partner,2023-09-10,2025-04-24,Yes,"Poor Support",8,3,10,No,"High Risk"
CUST-0028,Professional,Annual,51-200,35,409.62,"Organic Search",2025-12-29,NULL,No,,8,4,53,No,"Low NPS Only"
CUST-0029,Starter,Monthly,11-50,22,120.35,"Organic Search",2022-12-06,2023-08-15,Yes,"Missing Features",4,2,17,No,"High Risk"
CUST-0030,Business,Annual,500+,230,5979.45,Partner,2023-11-04,NULL,No,,9,3,76,No,"Low NPS Only"
CUST-0031,Business,Annual,500+,174,4558.59,"Direct Sales",2024-07-20,NULL,No,,8,7,84,No,"Low Risk"
CUST-0032,Enterprise,Annual,1-10,5,678.64,Referral,2023-03-28,NULL,No,,7,8,16,No,"Low Usage Only"
CUST-0033,Starter,Annual,1-10,6,43.14,"Organic Search",2024-05-19,2024-07-29,Yes,"No Longer Needed",11,3,30,No,"High Risk"
CUST-0034,Enterprise,Annual,11-50,35,2587.32,Referral,2023-09-25,NULL,No,,5,8,33,Yes,"Low Usage Only"
CUST-0035,Starter,Monthly,51-200,70,329.15,"Organic Search",2022-05-08,2022-07-24,Yes,"Switched Competitor",0,6,30,No,"High Risk"
CUST-0036,Professional,Monthly,1-10,7,150.1,Referral,2023-04-22,2023-12-24,Yes,"Company Closed",10,6,16,No,"High Risk"
CUST-0037,Professional,Monthly,1-10,2,90.85,"Direct Sales",2024-06-14,2024-11-08,Yes,"No Longer Needed",11,2,34,No,"High Risk"
CUST-0038,Professional,Monthly,1-10,5,126.4,"Organic Search",2022-06-06,2022-08-11,Yes,"Budget Cuts",6,1,30,No,"High Risk"
CUST-0039,Business,Annual,51-200,30,904.95,"Organic Search",2024-05-02,NULL,No,,4,9,71,Yes,"Low Risk"
CUST-0040,Business,Annual,11-50,24,752.72,"Direct Sales",2023-05-17,NULL,No,,9,2,76,No,"Low NPS Only"
CUST-0041,Starter,Monthly,51-200,53,255.2,Referral,2022-12-21,2023-05-19,Yes,"Poor Support",4,5,45,No,"High Risk"
CUST-0042,Starter,Monthly,51-200,34,172.55,Partner,2025-01-04,NULL,No,,9,2,73,No,"Low NPS Only"
CUST-0043,Professional,Annual,1-10,2,77.22,"Paid Ads",2022-02-20,NULL,No,,9,9,20,No,"Low Usage Only"
CUST-0044,Professional,Annual,1-10,2,77.22,"Social Media",2022-04-27,2022-08-02,Yes,"Price Too High",7,6,20,No,"High Risk"
CUST-0045,Starter,Monthly,11-50,7,55.1,"Social Media",2025-09-10,NULL,No,,12,4,67,No,"Low NPS Only"
CUST-0046,Professional,Monthly,1-10,4,114.55,"Paid Ads",2023-07-07,2024-02-28,Yes,"Missing Features",1,6,42,No,"High Risk"
CUST-0047,Business,Monthly,1-10,5,318.4,Partner,2023-01-17,2025-06-13,Yes,"No Longer Needed",15,4,46,No,"High Risk"
CUST-0048,Business,Annual,1-10,4,245.27,Referral,2022-04-18,2022-07-12,Yes,"Budget Cuts",4,5,16,No,"High Risk"
CUST-0049,Professional,Monthly,51-200,36,493.75,Partner,2022-05-18,2022-08-27,Yes,"Poor Support",1,6,26,No,"High Risk"
CUST-0050,Starter,Annual,1-10,7,46.83,"Organic Search",2022-06-22,2024-06-30,Yes,"Price Too High",2,3,38,No,"High Risk"
CUST-0051,Professional,Monthly,51-200,58,754.45,Partner,2022-12-27,2023-04-14,Yes,"Price Too High",10,3,29,No,"High Risk"
CUST-0052,Starter,Monthly,201-500,138,624.95,Referral,2025-03-16,2025-07-15,Yes,"Budget Cuts",0,1,38,No,"High Risk"
CUST-0053,Starter,Monthly,1-10,4,42.05,"Organic Search",2025-04-03,2025-07-04,Yes,"Price Too High",1,2,43,No,"High Risk"
CUST-0054,Professional,Annual,201-500,82,883.02,"Social Media",2024-06-23,NULL,No,,4,8,81,No,"Low Risk"
CUST-0055,Business,Monthly,1-10,7,378.1,"Organic Search",2022-04-13,2024-09-16,Yes,"Missing Features",6,2,21,No,"High Risk"
CUST-0056,Business,Monthly,11-50,14,587.05,"Paid Ads",2024-12-23,2025-11-15,Yes,"Missing Features",3,2,37,No,"High Risk"
CUST-0057,Professional,Annual,11-50,34,399.54,Referral,2024-07-12,2025-08-05,Yes,"No Longer Needed",1,1,10,No,"High Risk"
CUST-0058,Starter,Monthly,201-500,48,233.45,Referral,2022-09-10,2023-03-17,Yes,"Price Too High",2,1,12,No,"High Risk"
CUST-0059,Professional,Annual,11-50,28,339.11,"Social Media",2023-12-30,2024-10-10,Yes,"Missing Features",5,1,13,No,"High Risk"
CUST-0060,Professional,Monthly,51-200,59,766.3,Partner,2024-07-30,2024-09-07,Yes,"Switched Competitor",12,1,45,No,"High Risk"
CUST-0061,Business,Monthly,51-200,53,1751.2,Referral,2022-03-25,2023-04-06,Yes,"Switched Competitor",13,5,11,No,"High Risk"
CUST-0062,Professional,Monthly,11-50,21,316,"Paid Ads",2022-10-01,2024-04-13,Yes,"Switched Competitor",1,3,16,No,"High Risk"
CUST-0063,Enterprise,Annual,11-50,18,1505.73,"Organic Search",2025-08-21,NULL,No,,3,7,61,No,"Low Risk"
CUST-0064,Professional,Annual,51-200,51,570.77,"Direct Sales",2022-10-02,NULL,No,,1,10,33,No,"Low Usage Only"
CUST-0065,Starter,Monthly,201-500,60,285.65,"Direct Sales",2022-11-12,2022-11-20,Yes,"Poor Support",13,3,46,No,"High Risk"
CUST-0066,Starter,Annual,51-200,55,224.31,"Organic Search",2024-06-28,2024-07-21,Yes,"Poor Support",12,1,12,No,"High Risk"
CUST-0067,Business,Annual,1-10,7,321.38,"Paid Ads",2023-09-28,NULL,No,,4,8,30,No,"Low Usage Only"
CUST-0068,Professional,Annual,1-10,1,67.15,Referral,2025-12-02,NULL,No,,7,3,29,No,"High Risk"
CUST-0069,Starter,Annual,1-10,2,28.35,"Organic Search",2023-07-30,2024-09-17,Yes,"Missing Features",1,2,25,No,"High Risk"
CUST-0070,Business,Monthly,51-200,64,2079.55,"Organic Search",2022-08-25,2022-08-27,Yes,"No Longer Needed",3,1,28,No,"High Risk"
CUST-0071,Enterprise,Monthly,201-500,58,4765.45,"Organic Search",2022-01-22,NULL,No,,4,10,42,No,"Low Usage Only"
CUST-0072,Starter,Monthly,51-200,31,159.5,"Organic Search",2024-06-21,NULL,No,,7,10,81,No,"Low Risk"
CUST-0073,Professional,Monthly,201-500,106,1323.25,Referral,2025-05-20,NULL,No,,7,2,87,Yes,"Low NPS Only"
CUST-0074,Starter,Monthly,51-200,42,207.35,"Paid Ads",2023-12-14,2024-12-03,Yes,"Company Closed",12,3,10,No,"High Risk"
CUST-0075,Professional,Monthly,1-10,6,138.25,"Paid Ads",2022-12-30,NULL,No,,5,1,49,No,"High Risk"
CUST-0076,Professional,Annual,201-500,56,621.14,Referral,2024-03-03,NULL,No,,2,5,87,No,"Low NPS Only"
CUST-0077,Enterprise,Monthly,51-200,52,4316.35,Partner,2023-05-01,NULL,No,,4,7,88,No,"Low Risk"
CUST-0078,Starter,Annual,51-200,24,109.69,Partner,2023-02-21,2025-09-09,Yes,"Budget Cuts",2,4,16,No,"High Risk"
CUST-0079,Business,Monthly,51-200,40,1363.15,"Social Media",2024-01-06,NULL,No,,0,4,29,No,"High Risk"
CUST-0080,Starter,Monthly,11-50,5,46.4,"Organic Search",2025-03-05,2025-04-06,Yes,"No Longer Needed",0,6,20,No,"High Risk"
CUST-0081,Business,Annual,11-50,24,752.72,"Organic Search",2024-01-17,NULL,No,,2,6,86,No,"Low NPS Only"
